Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
14/08/2022,2022,Internacional,Fluminense,2.41,3.12,3.11,3.0,0.0,H,2,0,7,3,1,0,50,40,1,0,7,6,0,0,50,40
14/08/2022,2022,America MG,Santos,2.35,3.07,3.27,1.0,0.0,H,1,2,3,5,1,1,50,20,1,1,2,2,0,0,50,20
14/08/2022,2022,Sao Paulo,Bragantino,2.14,3.28,3.49,3.0,0.0,H,0,1,5,7,0,1,40,40,1,2,5,4,1,0,40,40
14/08/2022,2022,Flamengo RJ,Athletico-PR,1.31,5.22,9.79,5.0,0.0,H,3,0,10,1,3,0,70,10,1,2,4,6,0,1,70,10
14/08/2022,2022,Ceara,Fortaleza,2.82,2.93,2.75,0.0,1.0,A,2,1,5,3,1,0,20,50,2,1,3,2,0,0,20,50
14/08/2022,2022,Coritiba,Atletico-MG,5.08,3.61,1.71,0.0,1.0,A,1,1,4,4,0,0,55,18,1,1,2,4,0,1,55,18
14/08/2022,2022,Botafogo RJ,Atletico GO,2.05,3.3,3.75,0.0,0.0,D,1,1,3,2,1,0,30,20,0,3,2,9,0,2,30,20
14/08/2022,2022,Cuiaba,Juventude,2.0,3.03,4.43,1.0,0.0,H,1,1,3,2,1,0,20,50,0,2,2,7,0,1,20,50
13/08/2022,2022,Corinthians,Palmeiras,3.39,3.01,2.33,0.0,1.0,A,3,0,5,1,1,0,70,30,2,0,3,1,0,0,70,30
13/08/2022,2022,Goias,Avai,1.94,3.37,4.07,1.0,1.0,D,2,1,5,4,0,0,40,40,0,3,1,8,0,2,40,40
09/08/2022,2022,Coritiba,Santos,2.64,3.0,2.88,1.0,2.0,A,2,0,5,3,0,0,60,20,0,1,0,1,0,0,60,20
07/08/2022,2022,Atletico-MG,Athletico-PR,1.5,4.04,7.01,2.0,3.0,A,1,1,4,4,0,0,50,30,1,2,3,4,1,1,50,30
