Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
15/01/2023,2022,St. Gilloise,Antwerp,2.15,3.4,3.25,2,0,H,1,0,6,3,1,0,67,22,0,1,5,6,0,0,67,22
15/01/2023,2022,Gent,Kortrijk,1.36,5.0,8.5,2,1,H,2,0,4,1,1,0,56,22,1,1,6,7,0,1,56,22
15/01/2023,2022,Club Brugge,Anderlecht,1.91,3.75,3.6,1,1,D,1,0,7,5,1,0,60,30,1,1,1,5,0,1,60,30
14/01/2023,2022,Genk,Waregem,1.25,6.5,8.0,1,0,H,3,0,10,3,3,0,90,10,0,2,3,6,0,1,90,10
14/01/2023,2022,Mechelen,Oostende,1.73,3.8,4.33,2,1,H,1,0,5,4,0,0,40,30,0,3,2,13,0,3,40,30
14/01/2023,2022,Eupen,St Truiden,2.9,3.4,2.3,0,2,A,2,1,7,4,2,0,33,0,2,0,6,4,0,0,33,0
14/01/2023,2022,Seraing,Standard,3.8,3.6,1.91,1,1,D,0,3,2,5,0,0,0,11,1,1,3,2,1,1,0,11
13/01/2023,2022,Westerlo,Oud-Heverlee Leuven,1.95,3.75,3.5,1,2,A,1,1,11,6,1,0,56,22,0,1,2,3,0,0,56,22
08/01/2023,2022,Oud-Heverlee Leuven,Kortrijk,1.65,4.0,4.2,2,3,A,1,1,6,2,1,0,50,12,0,2,4,7,0,1,50,12
08/01/2023,2022,Anderlecht,St. Gilloise,2.6,3.3,2.45,1,3,A,1,2,4,5,1,1,44,11,3,0,11,4,1,0,44,11
08/01/2023,2022,Waregem,Mechelen,2.75,3.5,2.2,2,0,H,1,1,8,10,0,1,22,11,1,2,6,6,1,2,22,11
08/01/2023,2022,Genk,Club Brugge,2.1,3.5,3.0,3,1,H,3,0,13,3,3,0,89,11,1,1,3,4,0,1,89,11
07/01/2023,2022,Antwerp,Gent,2.45,3.25,2.63,2,0,H,1,1,4,3,1,1,78,11,1,1,5,3,1,1,78,11
07/01/2023,2022,Oostende,Seraing,1.75,3.75,4.2,1,2,A,2,1,6,8,1,1,50,0,0,2,3,9,0,1,50,0
07/01/2023,2022,Cercle Brugge,Westerlo,2.05,3.5,3.1,0,1,A,3,0,11,3,2,0,50,38,1,1,4,7,1,1,50,38
07/01/2023,2022,Eupen,Charleroi,2.55,3.4,2.45,1,2,A,2,1,6,6,2,1,38,0,0,3,3,10,0,2,38,0
06/01/2023,2022,Standard,St Truiden,2.2,3.25,3.0,1,1,D,2,1,10,3,2,0,56,11,2,1,5,6,0,1,56,11
27/12/2022,2022,Westerlo,Antwerp,3.1,3.5,2.05,3,3,D,1,1,10,5,1,0,62,12,0,2,2,6,0,1,62,12
27/12/2022,2022,St Truiden,Waregem,1.67,3.6,4.5,2,0,H,1,1,2,2,0,0,25,25,1,1,6,5,1,0,25,25
26/12/2022,2022,Charleroi,Anderlecht,2.9,3.4,2.15,0,1,A,1,1,3,7,0,1,33,11,0,2,2,8,0,1,33,11
26/12/2022,2022,Kortrijk,Genk,6.5,4.33,1.4,1,0,H,0,2,1,7,0,2,11,22,3,0,6,1,2,0,11,22
26/12/2022,2022,St. Gilloise,Oostende,1.33,5.0,7.0,3,0,H,1,0,5,3,1,0,62,25,0,3,2,13,0,3,62,25
26/12/2022,2022,Club Brugge,Oud-Heverlee Leuven,1.44,4.75,5.75,1,1,D,2,0,9,4,2,0,67,22,0,2,3,6,0,1,67,22
23/12/2022,2022,Mechelen,Cercle Brugge,2.55,3.4,2.55,1,1,D,2,0,6,3,1,0,44,22,2,0,3,1,0,0,44,22
23/12/2022,2022,Gent,Standard,1.53,4.0,5.25,0,0,D,3,0,7,1,2,0,62,12,1,2,3,4,1,2,62,12
23/12/2022,2022,Seraing,Eupen,2.7,3.25,2.45,0,1,A,0,3,2,5,0,0,0,12,0,2,8,11,0,1,0,12
13/11/2022,2022,Kortrijk,Gent,5.0,3.8,1.66,0,4,A,0,2,2,6,0,2,12,25,1,1,5,3,1,1,12,25
13/11/2022,2022,Anderlecht,Genk,2.62,3.5,2.5,0,2,A,1,2,4,4,1,0,50,12,3,0,6,2,1,0,50,12
